               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11158,            0.022606,                   0,               0.002,             0.57143,            0.016777,           0.0049892,            0.071207,           0.0083922,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11168,            0.021796,                   0,               0.002,             0.57143,           0.0067497,           0.0023286,            0.070778,           0.0084212,                   0,             0.09187,           0.0008703,           0.0008703
                   2,             0.11004,             0.02399,                   0,               0.002,             0.57143,           0.0017795,          0.00053596,            0.070193,           0.0084631,                   0,            0.087308,           0.0013076,           0.0013076
                   3,             0.10995,            0.022461,                   0,               0.002,             0.57143,           0.0019227,           0.0006248,            0.069836,            0.008484,                   0,            0.082712,           0.0017119,           0.0017119
                   4,             0.10822,            0.026697,                   0,           0.0018333,             0.52381,           0.0016933,          0.00059983,            0.069497,           0.0085066,                   0,            0.078083,           0.0020832,           0.0020832
                   5,             0.11001,            0.022267,                   0,           0.0018333,             0.52381,           0.0016506,          0.00059325,            0.069343,           0.0085195,                   0,            0.073422,           0.0024215,           0.0024215
                   6,            0.099713,            0.024393,                   0,              0.0005,             0.14286,          0.00029536,          6.7902e-05,            0.069036,           0.0085485,                   0,            0.068727,           0.0027268,           0.0027268
                   7,             0.10543,            0.023825,                   0,              0.0005,             0.14286,          0.00028808,          6.6377e-05,            0.068846,           0.0085614,                   0,            0.063999,           0.0029991,           0.0029991
                   8,             0.10742,            0.021633,                   0,           0.0016667,             0.47619,           0.0012337,          0.00044078,            0.068586,           0.0085824,                   0,            0.059238,           0.0032384,           0.0032384
                   9,             0.10464,            0.024818,                   0,               0.002,             0.57143,           0.0019551,          0.00060931,            0.068396,           0.0085969,                   0,            0.054445,           0.0034447,           0.0034447
                  10,             0.10277,            0.025236,                   0,               0.002,             0.57143,            0.001926,          0.00054278,            0.068196,           0.0086178,                   0,            0.049618,            0.003618,            0.003618
                  11,             0.10519,            0.023529,                   0,           0.0021667,             0.61905,           0.0021821,          0.00062752,            0.068024,           0.0086323,                   0,            0.044758,           0.0037583,           0.0037583
                  12,             0.10536,            0.024108,                   0,           0.0021667,             0.61905,           0.0021527,          0.00055995,            0.067909,           0.0086452,                   0,            0.039866,           0.0038656,           0.0038656
                  13,             0.10134,            0.025429,                   0,           0.0021667,             0.61905,           0.0021973,          0.00057631,            0.067787,           0.0086533,                   0,             0.03494,           0.0039399,           0.0039399
                  14,             0.10106,            0.026615,                   0,           0.0021667,             0.61905,           0.0021946,          0.00053883,            0.067663,           0.0086662,                   0,            0.029981,           0.0039812,           0.0039812
                  15,             0.10146,            0.025262,                   0,           0.0021667,             0.61905,           0.0021797,          0.00055067,             0.06759,           0.0086726,                   0,            0.024989,           0.0039895,           0.0039895
                  16,            0.099485,            0.026364,                   0,           0.0021667,             0.61905,           0.0022719,          0.00053141,            0.067493,           0.0086742,                   0,            0.019965,           0.0039648,           0.0039648
                  17,             0.10242,            0.026917,                   0,           0.0021667,             0.61905,           0.0023282,          0.00045473,            0.067443,           0.0086807,                   0,            0.014907,           0.0039071,           0.0039071
                  18,             0.10157,             0.02466,                   0,           0.0021667,             0.61905,           0.0025543,          0.00047352,            0.067433,           0.0086807,                   0,           0.0098164,           0.0038164,           0.0038164
                  19,             0.10021,             0.02818,                   0,               0.002,             0.57143,           0.0021247,          0.00043985,            0.067431,           0.0086807,                   0,           0.0046927,           0.0036927,           0.0036927
                  20,            0.098339,            0.025574,                   0,           0.0016667,             0.47619,            0.001672,          0.00037604,            0.067405,           0.0086823,                   0,              0.0034,              0.0034,              0.0034
                  21,            0.099976,            0.028433,                   0,           0.0016667,             0.47619,           0.0017364,          0.00035542,            0.067356,           0.0086823,                   0,              0.0034,              0.0034,              0.0034
                  22,             0.09828,            0.025627,                   0,           0.0016667,             0.47619,           0.0020942,          0.00045303,            0.067318,           0.0086823,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.098015,            0.026857,                   0,               0.002,             0.57143,           0.0031178,          0.00066709,            0.067156,           0.0086501,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.098899,            0.024955,                   0,           0.0018333,             0.52381,           0.0027452,           0.0006124,            0.066998,           0.0086785,                   0,             0.00241,             0.00241,             0.00241
                  25,             0.09223,            0.027256,                   0,               0.002,             0.57143,           0.0027781,           0.0005357,            0.066762,           0.0087442,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.099793,            0.026053,                   0,           0.0021667,             0.61905,           0.0056914,           0.0024773,            0.066288,           0.0088413,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.097274,            0.027138,                   0,           0.0053471,             0.14286,            0.029782,            0.014963,            0.066091,           0.0089129,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.10079,            0.032779,                   0,            0.012552,             0.10415,            0.016466,           0.0082541,            0.065888,           0.0089883,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.096938,            0.023527,                   0,             0.33533,            0.047619,            0.059607,            0.010653,            0.066012,           0.0089463,                   0,             0.00076,             0.00076,             0.00076
